x1,y1,x2,y2,x3,y3
936,0.01556,930.0757343,0.017176257,948.4858452,0.016366994
946,0.01623,944.5492034,0.017464587,948.6778022,0.016974858
958,0.01534,956.8313971,0.01783379,951.6262973,0.017698525
968,0.01632,971.7980589,0.017657557,974.1799116,0.017269872
978,0.01541,977.3069829,0.018295741,981.7208287,0.016463532
988,0.01616,993.1221996,0.017357041,998.6228254,0.016346374
998,0.01551,993.5218035,0.016988312,1004.436677,0.017165268
1010,0.01605,1014.67953,0.01730869,1009.877972,0.016867641
1020,0.01584,1022.004855,0.018024047,1019.01255,0.017329127
1030,0.01619,1037.174216,0.018383696,1022.556363,0.017281261
1042,0.0158,1051.269995,0.017567888,1027.732374,0.017178898
1052,0.01609,1055.893411,0.017115584,1047.651471,0.016337666
1062,0.01585,1058.530257,0.017840327,1061.502524,0.017005554
1072,0.01583,1061.177737,0.017001184,1065.592088,0.017657562
1082,0.01557,1068.254737,0.017246,1071.855998,0.017449163
1096,0.01599,1096.388703,0.017920822,1097.304813,0.016664295
1106,0.01614,1103.333355,0.016999717,1112.755559,0.016547539
1116,0.01574,1104.32167,0.017706256,1119.437011,0.017134016
1126,0.01646,1126.409223,0.016942674,1130.852595,0.017079818
1138,0.01644,1135.8312,0.018070514,1133.433621,0.016654804
1148,0.01526,1143.032121,0.018036331,1140.011824,0.017231467
1158,0.01652,1171.888998,0.017810155,1158.408384,0.017154709
1168,0.01664,1178.532396,0.017269628,1166.609924,0.017291343
1180,0.01636,1181.421565,0.017543274,1183.008167,0.016494882
1190,0.01663,1182.895044,0.016615239,1195.724826,0.017660071
1200,0.01605,1190.899507,0.01775669,1208.84645,0.017231941
1210,0.01657,1216.135604,0.017046437,1209.612134,0.016431917
1222,0.01662,1219.423476,0.017048757,1218.504054,0.017560402
1232,0.01613,1221.537538,0.018039567,1236.427355,0.016099632
1242,0.01688,1232.412197,0.016713235,1240.803289,0.016322248
1254,0.01629,1244.815592,0.017708836,1243.682177,0.017775862
1264,0.01696,1259.972512,0.017671808,1255.869291,0.016984787
1274,0.01688,1270.086824,0.017730399,1257.276774,0.016456624
1284,0.01609,1285.41233,0.016615006,1282.107739,0.017056093
1294,0.01683,1291.696156,0.017511777,1311.001163,0.016950879
1306,0.01729,1304.689956,0.017868907,1313.03457,0.017110996
1316,0.01643,1309.587495,0.017082378,1315.401428,0.017045974
1326,0.01756,1315.020769,0.017824453,1321.833067,0.016830781
1336,0.01678,1335.926413,0.016760513,1346.952565,0.017028586
1346,0.01664,1336.510792,0.018010059,1355.845435,0.016652229
1356,0.01715,1357.700943,0.01789436,1357.292043,0.016933363
1366,0.01636,1370.722587,0.016782959,1359.758426,0.017067754
1376,0.01692,1387.933447,0.017735252,1376.70816,0.017322477
1388,0.01671,1398.33203,0.016894943,1385.925072,0.017162896
1398,0.01698,1402.579508,0.018013237,1405.049855,0.0161798
1408,0.01673,1406.92823,0.017207574,1406.461824,0.017186998
1418,0.01708,1412.708719,0.017855031,1418.839031,0.016927662
1430,0.01694,1421.422985,0.017517358,1427.13233,0.01729109
