I/mA	Ewe/V	P/W					Current density 	Voltage	Power density		
2.59E+03	-5.88E-01	-1.52E+00		2.89E+03	-4.86E-01	-1.40E+00	577.70728	0.48611274	280.83086	2.8885364	0.48611274
2.64E+03	-5.85E-01	-1.54E+00		2.94E+03	-4.82E-01	-1.42E+00	587.99278	0.48191231	283.36096	2.9399639	0.48191231
2.69E+03	-5.81E-01	-1.56E+00		3.00E+03	-4.78E-01	-1.43E+00	599.09292	0.47828466	286.53696	2.9954646	0.47828466
2.74E+03	-5.77E-01	-1.58E+00		3.05E+03	-4.74E-01	-1.44E+00	609.17476	0.47396967	288.73036	3.0458738	0.47396967
2.79E+03	-5.73E-01	-1.60E+00		3.10E+03	-4.70E-01	-1.46E+00	619.2566	0.47001746	291.0614	3.096283	0.47001746
2.84E+03	-5.69E-01	-1.62E+00		3.15E+03	-4.66E-01	-1.47E+00	629.44028	0.46617979	293.43234	3.1472014	0.46617979
2.90E+03	-5.67E-01	-1.64E+00		3.20E+03	-4.62E-01	-1.48E+00	640.33676	0.46247578	296.14024	3.2016838	0.46247578
2.95E+03	-5.63E-01	-1.66E+00		3.25E+03	-4.58E-01	-1.49E+00	650.4186	0.45829445	298.08324	3.252093	0.45829445
3.00E+03	-5.60E-01	-1.68E+00		3.31E+03	-4.54E-01	-1.50E+00	661.21328	0.4544186	300.46762	3.3060664	0.4544186
3.06E+03	-5.57E-01	-1.70E+00		3.36E+03	-4.50E-01	-1.51E+00	671.29512	0.45046636	302.39586	3.3564756	0.45046636
3.11E+03	-5.54E-01	-1.72E+00		3.41E+03	-4.47E-01	-1.52E+00	681.88608	0.44681963	304.68008	3.4094304	0.44681963
3.16E+03	-5.51E-01	-1.74E+00		3.46E+03	-4.42E-01	-1.53E+00	691.96792	0.44210368	305.92158	3.4598396	0.44210368
3.21E+03	-5.48E-01	-1.76E+00		3.51E+03	-4.38E-01	-1.54E+00	702.15166	0.43820876	307.689	3.5107583	0.43820876
3.27E+03	-5.45E-01	-1.78E+00		3.56E+03	-4.34E-01	-1.55E+00	712.64078	0.43421835	309.4417	3.5632039	0.43421835
3.32E+03	-5.42E-01	-1.80E+00		3.61E+03	-4.30E-01	-1.55E+00	722.82446	0.42961696	310.53764	3.6141223	0.42961696
3.37E+03	-5.39E-01	-1.82E+00		3.67E+03	-4.25E-01	-1.56E+00	733.10996	0.42524469	311.75112	3.6655498	0.42524469
3.42E+03	-5.35E-01	-1.83E+00		3.72E+03	-4.22E-01	-1.57E+00	743.49732	0.42190343	313.68406	3.7174866	0.42190343
3.47E+03	-5.32E-01	-1.85E+00		3.77E+03	-4.18E-01	-1.57E+00	754.08838	0.41772211	314.99938	3.7704419	0.41772211
3.52E+03	-5.28E-01	-1.86E+00		3.83E+03	-4.14E-01	-1.58E+00	765.08672	0.41428539	316.96424	3.8254336	0.41428539
3.57E+03	-5.25E-01	-1.88E+00		3.88E+03	-4.09E-01	-1.59E+00	775.77958	0.40937853	317.58752	3.8788979	0.40937853
3.63E+03	-5.23E-01	-1.90E+00		3.93E+03	-4.05E-01	-1.59E+00	785.86138	0.40529266	318.50386	3.9293069	0.40529266
3.68E+03	-5.21E-01	-1.91E+00		3.98E+03	-4.03E-01	-1.60E+00	796.04502	0.40281057	320.65534	3.9802251	0.40281057
3.73E+03	-5.17E-01	-1.93E+00		4.03E+03	-3.97E-01	-1.60E+00	806.33056	0.39725456	320.31848	4.0316528	0.39725456
3.78E+03	-5.15E-01	-1.95E+00		4.08E+03	-3.94E-01	-1.61E+00	816.71788	0.393646	321.49772	4.0835894	0.393646
3.83E+03	-5.12E-01	-1.96E+00		4.13E+03	-3.90E-01	-1.61E+00	826.90156	0.38971287	322.25418	4.1345078	0.38971287
3.88E+03	-5.09E-01	-1.98E+00		4.19E+03	-3.87E-01	-1.62E+00	837.08526	0.38677257	323.7616	4.1854263	0.38677257
3.93E+03	-5.05E-01	-1.99E+00		4.24E+03	-3.81E-01	-1.62E+00	847.26894	0.38133112	323.09	4.2363447	0.38133112
3.98E+03	-5.02E-01	-2.00E+00		4.29E+03	-3.77E-01	-1.62E+00	857.5544	0.37745526	323.68842	4.287772	0.37745526
4.04E+03	-4.98E-01	-2.01E+00		4.34E+03	-3.74E-01	-1.62E+00	867.73808	0.37413311	324.64954	4.3386904	0.37413311
4.09E+03	-4.93E-01	-2.02E+00		4.39E+03	-3.70E-01	-1.62E+00	877.81992	0.36955082	324.39906	4.3890996	0.36955082
4.14E+03	-4.89E-01	-2.03E+00		4.44E+03	-3.65E-01	-1.62E+00	888.5128	0.36472031	324.05868	4.442564	0.36472031
4.20E+03	-4.85E-01	-2.04E+00		4.50E+03	-3.61E-01	-1.62E+00	899.91846	0.36051989	324.4385	4.4995923	0.36051989
4.25E+03	-4.82E-01	-2.05E+00		4.55E+03	-3.57E-01	-1.63E+00	910.0003	0.35736957	325.20642	4.5500015	0.35736957
4.30E+03	-4.80E-01	-2.06E+00		4.60E+03	-3.51E-01	-1.62E+00	920.89678	0.35124075	323.45648	4.6044839	0.35124075
4.35E+03	-4.77E-01	-2.07E+00		4.66E+03	-3.47E-01	-1.61E+00	931.18242	0.34683031	322.96228	4.6559121	0.34683031
4.40E+03	-4.75E-01	-2.09E+00		4.71E+03	-3.42E-01	-1.61E+00	941.67158	0.34234348	322.37514	4.7083579	0.34234348
4.45E+03	-4.72E-01	-2.10E+00		4.76E+03	-3.38E-01	-1.61E+00	951.85518	0.33799031	321.71784	4.7592759	0.33799031
4.50E+03	-4.69E-01	-2.11E+00		4.81E+03	-3.33E-01	-1.60E+00	962.03886	0.33285433	320.2188	4.8101943	0.33285433
4.55E+03	-4.67E-01	-2.12E+00		4.86E+03	-3.28E-01	-1.60E+00	972.62988	0.32834843	319.3615	4.8631494	0.32834843
4.61E+03	-4.63E-01	-2.14E+00		4.92E+03	-3.23E-01	-1.59E+00	983.32266	0.32349885	318.10374	4.9166133	0.32349885
4.66E+03	-4.59E-01	-2.14E+00		4.97E+03	-3.21E-01	-1.60E+00	994.01552	0.32107404	319.15256	4.9700776	0.32107404
4.71E+03	-4.55E-01	-2.15E+00		5.02E+03	-3.14E-01	-1.58E+00	1004.40284	0.31366602	315.04702	5.0220142	0.31366602
4.77E+03	-4.51E-01	-2.15E+00		5.07E+03	-3.09E-01	-1.57E+00	1014.48466	0.30893099	313.40576	5.0724233	0.30893099
4.82E+03	-4.47E-01	-2.15E+00		5.12E+03	-3.03E-01	-1.55E+00	1024.66836	0.30322221	310.7022	5.1233418	0.30322221
4.87E+03	-4.42E-01	-2.16E+00		5.17E+03	-3.01E-01	-1.56E+00	1034.85206	0.30056831	311.04374	5.1742603	0.30056831
4.93E+03	-4.39E-01	-2.16E+00		5.22E+03	-2.93E-01	-1.53E+00	1044.93388	0.29348487	306.67228	5.2246694	0.29348487
4.98E+03	-4.36E-01	-2.17E+00		5.28E+03	-2.88E-01	-1.52E+00	1055.01572	0.28760424	303.427	5.2750786	0.28760424
5.03E+03	-4.33E-01	-2.18E+00		5.33E+03	-2.82E-01	-1.50E+00	1065.19932	0.28202912	300.41724	5.3259966	0.28202912
5.08E+03	-4.31E-01	-2.19E+00		5.38E+03	-2.79E-01	-1.50E+00	1075.383	0.27882153	299.83992	5.376915	0.27882153
5.13E+03	-4.28E-01	-2.20E+00		5.43E+03	-2.71E-01	-1.47E+00	1085.66846	0.27147079	294.72728	5.4283423	0.27147079
5.18E+03	-4.26E-01	-2.21E+00		5.48E+03	-2.65E-01	-1.45E+00	1095.7504	0.26513195	290.51842	5.478752	0.26513195
5.23E+03	-4.24E-01	-2.22E+00		5.53E+03	-2.59E-01	-1.43E+00	1105.83212	0.2586022	285.97062	5.5291606	0.2586022
5.28E+03	-4.21E-01	-2.23E+00		5.58E+03	-2.55E-01	-1.42E+00	1116.11768	0.25461179	284.17674	5.5805884	0.25461179
5.33E+03	-4.19E-01	-2.23E+00		5.61E+03	-2.51E-01	-1.41E+00	1121.8205	0.25136599	281.98752	5.6091025	0.25136599
5.38E+03	-4.16E-01	-2.24E+00									
5.44E+03	-4.13E-01	-2.25E+00									
5.49E+03	-4.09E-01	-2.25E+00									
5.54E+03	-4.06E-01	-2.25E+00									
5.59E+03	-4.03E-01	-2.25E+00									
5.65E+03	-3.99E-01	-2.26E+00									
5.70E+03	-3.95E-01	-2.25E+00									
5.75E+03	-3.92E-01	-2.25E+00									
5.80E+03	-3.88E-01	-2.25E+00									
5.85E+03	-3.84E-01	-2.25E+00									
5.91E+03	-3.80E-01	-2.24E+00									
5.96E+03	-3.76E-01	-2.24E+00									
6.01E+03	-3.71E-01	-2.23E+00									
6.06E+03	-3.67E-01	-2.23E+00									
6.11E+03	-3.62E-01	-2.21E+00									
6.16E+03	-3.57E-01	-2.20E+00									
6.21E+03	-3.52E-01	-2.19E+00									
6.26E+03	-3.47E-01	-2.17E+00									
6.31E+03	-3.41E-01	-2.16E+00									
6.37E+03	-3.37E-01	-2.14E+00									
6.42E+03	-3.32E-01	-2.13E+00									
6.47E+03	-3.28E-01	-2.12E+00									
6.52E+03	-3.24E-01	-2.12E+00									
6.58E+03	-3.20E-01	-2.11E+00									
6.63E+03	-3.17E-01	-2.10E+00									
6.68E+03	-3.12E-01	-2.08E+00									
6.73E+03	-3.09E-01	-2.08E+00									
6.78E+03	-3.06E-01	-2.07E+00									
6.83E+03	-3.03E-01	-2.07E+00									
6.88E+03	-2.99E-01	-2.06E+00									
6.93E+03	-2.96E-01	-2.05E+00									
6.98E+03	-2.93E-01	-2.05E+00									
7.04E+03	-2.90E-01	-2.04E+00									
7.09E+03	-2.86E-01	-2.02E+00									
7.14E+03	-2.81E-01	-2.00E+00									
7.19E+03	-2.75E-01	-1.97E+00									
7.24E+03	-2.70E-01	-1.95E+00									
7.29E+03	-2.66E-01	-1.94E+00									
7.34E+03	-2.62E-01	-1.93E+00									
7.39E+03	-2.58E-01	-1.91E+00									
7.44E+03	-2.54E-01	-1.89E+00									
7.46E+03	-2.51E-01	-1.88E+00									
0.00E+00	-8.20E-01	0.00E+00									
0.00E+00	-8.95E-01	0.00E+00									
0.00E+00	-9.05E-01	0.00E+00									
0.00E+00	-9.11E-01	0.00E+00									
0.00E+00	-9.15E-01	0.00E+00									
0.00E+00	-9.18E-01	0.00E+00									
4.17E+01	-9.18E-01	-3.83E-02									
9.26E+01	-8.51E-01	-7.88E-02									
1.44E+02	-8.02E-01	-1.15E-01									
1.94E+02	-7.84E-01	-1.52E-01									
2.47E+02	-7.71E-01	-1.90E-01									
2.97E+02	-7.62E-01	-2.26E-01									
3.48E+02	-7.52E-01	-2.62E-01									
3.98E+02	-7.45E-01	-2.97E-01									
4.52E+02	-7.37E-01	-3.33E-01									
5.02E+02	-7.30E-01	-3.67E-01									
5.52E+02	-7.24E-01	-4.00E-01									
6.05E+02	-7.18E-01	-4.34E-01									
6.55E+02	-7.12E-01	-4.66E-01									
7.08E+02	-7.06E-01	-5.00E-01									
7.61E+02	-7.00E-01	-5.32E-01									
8.12E+02	-6.94E-01	-5.64E-01									
8.62E+02	-6.89E-01	-5.95E-01									
9.13E+02	-6.84E-01	-6.24E-01									
9.64E+02	-6.79E-01	-6.54E-01									
1.01E+03	-6.73E-01	-6.83E-01									
1.07E+03	-6.68E-01	-7.11E-01									
1.12E+03	-6.63E-01	-7.39E-01									
1.17E+03	-6.57E-01	-7.66E-01									
1.22E+03	-6.51E-01	-7.95E-01									
1.27E+03	-6.46E-01	-8.22E-01									
1.32E+03	-6.42E-01	-8.50E-01									
1.37E+03	-6.37E-01	-8.76E-01									
1.43E+03	-6.33E-01	-9.03E-01									
1.48E+03	-6.29E-01	-9.30E-01									
1.53E+03	-6.25E-01	-9.57E-01									
1.58E+03	-6.20E-01	-9.82E-01									
1.64E+03	-6.15E-01	-1.01E+00									
1.69E+03	-6.10E-01	-1.03E+00									
1.74E+03	-6.05E-01	-1.05E+00									
1.79E+03	-6.00E-01	-1.08E+00									
1.85E+03	-5.95E-01	-1.10E+00									
1.90E+03	-5.91E-01	-1.12E+00									
1.95E+03	-5.88E-01	-1.14E+00									
2.00E+03	-5.84E-01	-1.17E+00									
2.05E+03	-5.80E-01	-1.19E+00									
2.10E+03	-5.76E-01	-1.21E+00									
2.15E+03	-5.72E-01	-1.23E+00									
2.20E+03	-5.68E-01	-1.25E+00									
2.26E+03	-5.64E-01	-1.27E+00									
2.31E+03	-5.60E-01	-1.29E+00									
2.36E+03	-5.56E-01	-1.31E+00									
2.41E+03	-5.52E-01	-1.33E+00									
2.46E+03	-5.48E-01	-1.35E+00									
2.52E+03	-5.44E-01	-1.37E+00									
2.57E+03	-5.40E-01	-1.39E+00									
2.62E+03	-5.36E-01	-1.40E+00									
2.67E+03	-5.31E-01	-1.42E+00									
2.72E+03	-5.27E-01	-1.44E+00									
2.77E+03	-5.24E-01	-1.45E+00									
2.83E+03	-5.19E-01	-1.47E+00									
2.88E+03	-5.15E-01	-1.49E+00									
2.93E+03	-5.11E-01	-1.50E+00									
2.98E+03	-5.08E-01	-1.51E+00									
3.03E+03	-5.04E-01	-1.53E+00									
3.09E+03	-5.00E-01	-1.54E+00									
3.14E+03	-4.95E-01	-1.55E+00									
3.19E+03	-4.91E-01	-1.57E+00									
3.24E+03	-4.87E-01	-1.58E+00									
3.30E+03	-4.83E-01	-1.59E+00									
3.35E+03	-4.79E-01	-1.61E+00									
3.40E+03	-4.76E-01	-1.62E+00									
3.45E+03	-4.71E-01	-1.63E+00									
3.50E+03	-4.67E-01	-1.64E+00									
3.55E+03	-4.63E-01	-1.64E+00									
3.60E+03	-4.59E-01	-1.65E+00									
3.66E+03	-4.52E-01	-1.65E+00									
3.71E+03	-4.43E-01	-1.64E+00									
3.76E+03	-4.38E-01	-1.64E+00									
3.81E+03	-4.34E-01	-1.65E+00									
3.86E+03	-4.31E-01	-1.66E+00									
3.91E+03	-4.28E-01	-1.67E+00									
3.96E+03	-4.24E-01	-1.68E+00									
4.01E+03	-4.20E-01	-1.69E+00									
4.07E+03	-4.16E-01	-1.69E+00									
4.12E+03	-4.12E-01	-1.70E+00									
4.17E+03	-4.08E-01	-1.70E+00									
4.22E+03	-4.04E-01	-1.70E+00									
4.27E+03	-4.01E-01	-1.71E+00									
4.32E+03	-3.96E-01	-1.71E+00									
4.37E+03	-3.93E-01	-1.72E+00									
4.42E+03	-3.89E-01	-1.72E+00									
4.48E+03	-3.86E-01	-1.73E+00									
4.53E+03	-3.82E-01	-1.73E+00									
4.58E+03	-3.79E-01	-1.73E+00									
