I/mA	Ewe/V	P/W						Current density	Voltage	Power Density		
2.59E+03	-2.82E-01	-7.31E-01			2881.917	-0.48290515	-1.3916925	576.3834	0.48290515	278.3385	2.881917	0.48290515
2.64E+03	-2.66E-01	-7.03E-01			2932.3259	-0.47979301	-1.4069095	586.46518	0.47979301	281.3819	2.9323259	0.47979301
2.68E+03	-2.51E-01	-6.73E-01			2987.8269	-0.47671905	-1.424354	597.56538	0.47671905	284.8708	2.9878269	0.47671905
0.00E+00	-7.32E-01	0.00E+00			3040.2729	-0.47353053	-1.4396621	608.05458	0.47353053	287.93242	3.0402729	0.47353053
0.00E+00	-8.68E-01	0.00E+00			3090.6821	-0.47034204	-1.4536778	618.13642	0.47034204	290.73556	3.0906821	0.47034204
0.00E+00	-8.82E-01	0.00E+00			3141.6003	-0.46759266	-1.4689893	628.32006	0.46759266	293.79786	3.1416003	0.46759266
0.00E+00	-8.88E-01	0.00E+00			3192.0095	-0.46446145	-1.4825654	638.4019	0.46446145	296.51308	3.1920095	0.46446145
0.00E+00	-8.92E-01	0.00E+00			3242.9277	-0.46133021	-1.4960605	648.58554	0.46133021	299.2121	3.2429277	0.46133021
0.00E+00	-8.95E-01	0.00E+00			3293.3367	-0.45833263	-1.5094436	658.66734	0.45833263	301.88872	3.2933367	0.45833263
4.78E+01	-8.96E-01	-4.28E-02			3343.7458	-0.45539233	-1.5227162	668.74916	0.45539233	304.54324	3.3437458	0.45539233
9.92E+01	-7.91E-01	-7.85E-02			3394.6646	-0.45231837	-1.5354692	678.93292	0.45231837	307.09384	3.3946646	0.45231837
1.55E+02	-7.36E-01	-1.14E-01			3446.6011	-0.44941625	-1.5489585	689.32022	0.44941625	309.7917	3.4466011	0.44941625
2.08E+02	-6.98E-01	-1.45E-01			3498.5378	-0.44657141	-1.5623469	699.70756	0.44657141	312.46938	3.4985378	0.44657141
2.59E+02	-6.75E-01	-1.75E-01			3552.0022	-0.44345927	-1.5751683	710.40044	0.44345927	315.03366	3.5520022	0.44345927
3.10E+02	-6.60E-01	-2.04E-01			3603.939	-0.44044262	-1.5873283	720.7878	0.44044262	317.46566	3.603939	0.44044262
3.62E+02	-6.48E-01	-2.34E-01			3655.3662	-0.43712047	-1.5978354	731.07324	0.43712047	319.56708	3.6553662	0.43712047
4.16E+02	-6.36E-01	-2.65E-01			3709.3398	-0.43398923	-1.6098136	741.86796	0.43398923	321.96272	3.7093398	0.43398923
4.67E+02	-6.25E-01	-2.92E-01			3762.2944	-0.43106803	-1.6218048	752.45888	0.43106803	324.36096	3.7622944	0.43106803
5.17E+02	-6.15E-01	-3.18E-01			3813.7222	-0.42765039	-1.6309397	762.74444	0.42765039	326.18794	3.8137222	0.42765039
5.69E+02	-6.07E-01	-3.46E-01			3864.6404	-0.4244619	-1.6403927	772.92808	0.4244619	328.07854	3.8646404	0.4244619
6.25E+02	-6.00E-01	-3.75E-01			3915.0496	-0.42140704	-1.6498295	783.00992	0.42140704	329.9659	3.9150496	0.42140704
6.76E+02	-5.94E-01	-4.01E-01			3965.9683	-0.41833308	-1.6590958	793.19366	0.41833308	331.81916	3.9659683	0.41833308
7.30E+02	-5.88E-01	-4.29E-01			4016.3774	-0.41541186	-1.6684508	803.27548	0.41541186	333.69016	4.0163774	0.41541186
7.80E+02	-5.82E-01	-4.54E-01			4068.314	-0.41187969	-1.6756558	813.6628	0.41187969	335.13116	4.068314	0.41187969
8.32E+02	-5.76E-01	-4.80E-01			4119.2324	-0.40886301	-1.6842017	823.84648	0.40886301	336.84034	4.1192324	0.40886301
8.82E+02	-5.71E-01	-5.04E-01			4171.1689	-0.40571269	-1.6922961	834.23378	0.40571269	338.45922	4.1711689	0.40571269
9.34E+02	-5.65E-01	-5.28E-01			4222.0874	-0.40256238	-1.6996535	844.41748	0.40256238	339.9307	4.2220874	0.40256238
9.88E+02	-5.60E-01	-5.53E-01			4274.0244	-0.39937386	-1.7069336	854.80488	0.39937386	341.38672	4.2740244	0.39937386
1.04E+03	-5.54E-01	-5.76E-01			4324.4336	-0.39591807	-1.7121214	864.88672	0.39591807	342.42428	4.3244336	0.39591807
1.09E+03	-5.49E-01	-5.99E-01			4374.8428	-0.39297774	-1.7192159	874.96856	0.39297774	343.84318	4.3748428	0.39297774
1.14E+03	-5.44E-01	-6.23E-01			4425.252	-0.38952196	-1.7237328	885.0504	0.38952196	344.74656	4.425252	0.38952196
1.19E+03	-5.40E-01	-6.45E-01			4475.6606	-0.386448	-1.7296101	895.13212	0.386448	345.92202	4.4756606	0.386448
1.25E+03	-5.35E-01	-6.67E-01			4526.5791	-0.38289672	-1.7332124	905.31582	0.38289672	346.64248	4.5265791	0.38289672
1.30E+03	-5.31E-01	-6.88E-01			4577.4971	-0.37961274	-1.7376763	915.49942	0.37961274	347.53526	4.5774971	0.37961274
1.35E+03	-5.27E-01	-7.10E-01			4628.9248	-0.37627152	-1.7417326	925.78496	0.37627152	348.34652	4.6289248	0.37627152
1.40E+03	-5.22E-01	-7.31E-01			4679.334	-0.37268203	-1.7439038	935.8668	0.37268203	348.78076	4.679334	0.37268203
1.45E+03	-5.18E-01	-7.52E-01			4732.2891	-0.36934081	-1.7478274	946.45782	0.36934081	349.56548	4.7322891	0.36934081
1.50E+03	-5.14E-01	-7.73E-01			4783.2075	-0.36605683	-1.7509258	956.6415	0.36605683	350.18516	4.7832075	0.36605683
1.55E+03	-5.10E-01	-7.93E-01			4833.6167	-0.36244828	-1.7519361	966.72334	0.36244828	350.38722	4.8336167	0.36244828
1.60E+03	-5.06E-01	-8.12E-01			4884.5347	-0.35870606	-1.7521122	976.90694	0.35870606	350.42244	4.8845347	0.35870606
1.66E+03	-5.02E-01	-8.33E-01			4935.9624	-0.35513571	-1.7529365	987.19248	0.35513571	350.5873	4.9359624	0.35513571
1.71E+03	-4.98E-01	-8.54E-01			4988.4082	-0.35156533	-1.7537514	997.68164	0.35156533	350.75028	4.9884082	0.35156533
1.77E+03	-4.94E-01	-8.73E-01			5039.3267	-0.34786132	-1.7529868	1007.86534	0.34786132	350.59736	5.0393267	0.34786132
1.82E+03	-4.91E-01	-8.92E-01			5089.7358	-0.34427187	-1.7522528	1017.94716	0.34427187	350.45056	5.0897358	0.34427187
