I/mA	Ewe/V	P/W						Current density 	Voltage	Power density		
3.05E+03	-5.35E-01	-1.63E+00			3.36E+03	-3.80E-01	-1.28E+00	671.8043	0.38020465	255.42312	3.3590215	0.38020465
3.10E+03	-5.32E-01	-1.65E+00			3.41E+03	-3.75E-01	-1.28E+00	681.88608	0.37504956	255.74108	3.4094304	0.37504956
3.15E+03	-5.29E-01	-1.67E+00			3.46E+03	-3.70E-01	-1.28E+00	692.06988	0.36964628	255.82106	3.4603494	0.36964628
3.21E+03	-5.26E-01	-1.69E+00			3.51E+03	-3.64E-01	-1.28E+00	702.25346	0.36431938	255.84454	3.5112673	0.36431938
3.26E+03	-5.23E-01	-1.70E+00			3.56E+03	-3.59E-01	-1.28E+00	712.3353	0.35906884	255.7774	3.5616765	0.35906884
3.31E+03	-5.20E-01	-1.72E+00			3.61E+03	-3.53E-01	-1.28E+00	722.92636	0.35347462	255.53612	3.6146318	0.35347462
3.36E+03	-5.18E-01	-1.74E+00			3.67E+03	-3.48E-01	-1.27E+00	733.21176	0.34755585	254.83202	3.6660588	0.34755585
3.41E+03	-5.15E-01	-1.76E+00			3.72E+03	-3.42E-01	-1.27E+00	743.2936	0.34215257	254.31982	3.716468	0.34215257
3.46E+03	-5.12E-01	-1.77E+00			3.77E+03	-3.36E-01	-1.27E+00	753.78282	0.33623376	253.44722	3.7689141	0.33623376
3.51E+03	-5.09E-01	-1.79E+00			3.82E+03	-3.30E-01	-1.26E+00	764.06832	0.33023861	252.32486	3.8203416	0.33023861
3.57E+03	-5.06E-01	-1.81E+00			3.87E+03	-3.25E-01	-1.26E+00	774.55756	0.32451075	251.35226	3.8727878	0.32451075
3.62E+03	-5.04E-01	-1.82E+00			3.92E+03	-3.18E-01	-1.25E+00	784.94488	0.31819102	249.76242	3.9247244	0.31819102
3.67E+03	-5.01E-01	-1.84E+00			3.98E+03	-3.11E-01	-1.24E+00	795.6377	0.31133667	247.71118	3.9781885	0.31133667
3.72E+03	-4.98E-01	-1.85E+00			4.03E+03	-3.05E-01	-1.23E+00	806.43238	0.30503604	245.99094	4.0321619	0.30503604
3.77E+03	-4.96E-01	-1.87E+00			4.08E+03	-2.98E-01	-1.22E+00	816.92154	0.29779983	243.2791	4.0846077	0.29779983
3.83E+03	-4.93E-01	-1.89E+00			4.14E+03	-2.91E-01	-1.20E+00	827.00342	0.29098368	240.6445	4.1350171	0.29098368
3.88E+03	-4.90E-01	-1.90E+00			4.19E+03	-2.84E-01	-1.19E+00	837.69628	0.28403389	237.93414	4.1884814	0.28403389
3.93E+03	-4.87E-01	-1.92E+00			4.24E+03	-2.77E-01	-1.17E+00	847.87998	0.2770077	234.86928	4.2393999	0.2770077
3.98E+03	-4.85E-01	-1.93E+00			4.29E+03	-2.70E-01	-1.16E+00	858.06358	0.2695615	231.3009	4.2903179	0.2695615
4.03E+03	-4.82E-01	-1.94E+00			4.34E+03	-2.62E-01	-1.14E+00	868.45098	0.26163796	227.21974	4.3422549	0.26163796
4.09E+03	-4.80E-01	-1.96E+00			4.39E+03	-2.54E-01	-1.11E+00	878.53272	0.25365713	222.84608	4.3926636	0.25365713
4.14E+03	-4.77E-01	-1.97E+00			4.40E+03	-2.51E-01	-1.11E+00	879.75478	0.25144237	221.20764	4.3987739	0.25144237
4.20E+03	-4.74E-01	-1.99E+00										
4.25E+03	-4.71E-01	-2.00E+00										
4.30E+03	-4.69E-01	-2.01E+00										
4.35E+03	-4.66E-01	-2.03E+00										
4.40E+03	-4.64E-01	-2.04E+00										
4.45E+03	-4.61E-01	-2.05E+00										
4.51E+03	-4.59E-01	-2.07E+00										
4.56E+03	-4.56E-01	-2.08E+00										
4.61E+03	-4.54E-01	-2.09E+00										
4.66E+03	-4.51E-01	-2.10E+00										
4.71E+03	-4.49E-01	-2.11E+00										
4.76E+03	-4.46E-01	-2.12E+00										
4.81E+03	-4.44E-01	-2.13E+00										
4.86E+03	-4.41E-01	-2.15E+00										
4.92E+03	-4.39E-01	-2.16E+00										
4.97E+03	-4.36E-01	-2.17E+00										
5.02E+03	-4.34E-01	-2.18E+00										
5.07E+03	-4.32E-01	-2.19E+00										
5.12E+03	-4.29E-01	-2.20E+00										
5.17E+03	-4.27E-01	-2.21E+00										
5.22E+03	-4.24E-01	-2.21E+00										
5.27E+03	-4.22E-01	-2.22E+00										
5.32E+03	-4.20E-01	-2.23E+00										
5.37E+03	-4.17E-01	-2.24E+00										
5.43E+03	-4.15E-01	-2.25E+00										
5.48E+03	-4.12E-01	-2.26E+00										
5.53E+03	-4.09E-01	-2.26E+00										
5.58E+03	-4.07E-01	-2.27E+00										
5.63E+03	-4.05E-01	-2.28E+00										
5.69E+03	-4.02E-01	-2.29E+00										
5.74E+03	-4.00E-01	-2.30E+00										
5.79E+03	-3.97E-01	-2.30E+00										
5.84E+03	-3.95E-01	-2.31E+00										
5.90E+03	-3.93E-01	-2.31E+00										
5.95E+03	-3.90E-01	-2.32E+00										
6.00E+03	-3.88E-01	-2.32E+00										
6.05E+03	-3.85E-01	-2.33E+00										
6.10E+03	-3.82E-01	-2.33E+00										
6.15E+03	-3.80E-01	-2.34E+00										
6.21E+03	-3.78E-01	-2.34E+00										
6.26E+03	-3.75E-01	-2.35E+00										
6.31E+03	-3.73E-01	-2.35E+00										
6.36E+03	-3.70E-01	-2.35E+00										
6.42E+03	-3.68E-01	-2.36E+00										
6.47E+03	-3.65E-01	-2.36E+00										
6.52E+03	-3.63E-01	-2.36E+00										
6.57E+03	-3.60E-01	-2.37E+00										
6.62E+03	-3.58E-01	-2.37E+00										
6.67E+03	-3.55E-01	-2.37E+00										
6.72E+03	-3.53E-01	-2.37E+00										
6.78E+03	-3.50E-01	-2.37E+00										
6.83E+03	-3.48E-01	-2.37E+00										
6.88E+03	-3.45E-01	-2.37E+00										
6.93E+03	-3.42E-01	-2.37E+00										
6.98E+03	-3.40E-01	-2.37E+00										
7.03E+03	-3.37E-01	-2.37E+00										
7.08E+03	-3.35E-01	-2.37E+00										
7.13E+03	-3.32E-01	-2.37E+00										
7.19E+03	-3.30E-01	-2.37E+00										
7.24E+03	-3.27E-01	-2.37E+00										
7.29E+03	-3.25E-01	-2.37E+00										
7.34E+03	-3.22E-01	-2.36E+00										
7.39E+03	-3.19E-01	-2.36E+00										
7.44E+03	-3.17E-01	-2.36E+00										
7.49E+03	-3.14E-01	-2.35E+00										
7.54E+03	-3.11E-01	-2.35E+00										
7.59E+03	-3.09E-01	-2.35E+00										
7.64E+03	-3.06E-01	-2.34E+00										
7.70E+03	-3.03E-01	-2.33E+00										
7.75E+03	-3.01E-01	-2.33E+00										
7.80E+03	-2.98E-01	-2.32E+00										
7.85E+03	-2.95E-01	-2.32E+00										
7.90E+03	-2.92E-01	-2.31E+00										
7.95E+03	-2.90E-01	-2.30E+00										
8.00E+03	-2.87E-01	-2.30E+00										
8.05E+03	-2.84E-01	-2.29E+00										
8.11E+03	-2.81E-01	-2.28E+00										
8.16E+03	-2.78E-01	-2.27E+00										
8.21E+03	-2.76E-01	-2.26E+00										
8.26E+03	-2.73E-01	-2.25E+00										
8.31E+03	-2.70E-01	-2.24E+00										
8.37E+03	-2.67E-01	-2.23E+00										
8.42E+03	-2.64E-01	-2.22E+00										
8.47E+03	-2.61E-01	-2.21E+00										
8.52E+03	-2.58E-01	-2.20E+00										
8.57E+03	-2.55E-01	-2.18E+00										
8.62E+03	-2.52E-01	-2.17E+00										
8.63E+03	-2.51E-01	-2.17E+00										
0.00E+00	-8.59E-01	0.00E+00										
0.00E+00	-9.43E-01	0.00E+00										
0.00E+00	-9.53E-01	0.00E+00										
