I/mA	Ewe/V	P/W					Current density 	Voltage	Power density		
5.90E+03	-4.14E-01	-2.44E+00									
5.95E+03	-4.12E-01	-2.45E+00									
6.01E+03	-4.09E-01	-2.46E+00									
6.06E+03	-4.06E-01	-2.46E+00									
6.11E+03	-4.03E-01	-2.46E+00									
6.16E+03	-4.01E-01	-2.47E+00									
6.21E+03	-3.98E-01	-2.47E+00									
6.27E+03	-3.95E-01	-2.48E+00									
6.32E+03	-3.92E-01	-2.48E+00									
6.37E+03	-3.89E-01	-2.48E+00									
6.43E+03	-3.86E-01	-2.48E+00									
6.48E+03	-3.83E-01	-2.48E+00									
6.53E+03	-3.80E-01	-2.48E+00									
6.59E+03	-3.77E-01	-2.48E+00									
6.64E+03	-3.74E-01	-2.48E+00									
6.69E+03	-3.70E-01	-2.47E+00									
6.74E+03	-3.67E-01	-2.47E+00									
6.79E+03	-3.64E-01	-2.47E+00									
6.84E+03	-3.61E-01	-2.47E+00									
6.89E+03	-3.57E-01	-2.46E+00									
6.95E+03	-3.54E-01	-2.46E+00									
7.00E+03	-3.51E-01	-2.45E+00									
7.05E+03	-3.48E-01	-2.45E+00									
7.11E+03	-3.44E-01	-2.45E+00									
7.16E+03	-3.41E-01	-2.44E+00									
7.21E+03	-3.37E-01	-2.43E+00									
7.26E+03	-3.34E-01	-2.43E+00									
7.31E+03	-3.31E-01	-2.42E+00									
7.36E+03	-3.28E-01	-2.41E+00									
7.42E+03	-3.24E-01	-2.41E+00									
7.47E+03	-3.21E-01	-2.39E+00									
7.52E+03	-3.17E-01	-2.39E+00									
7.57E+03	-3.14E-01	-2.38E+00									
7.62E+03	-3.11E-01	-2.37E+00									
7.67E+03	-3.07E-01	-2.36E+00									
7.73E+03	-3.04E-01	-2.35E+00									
7.78E+03	-3.00E-01	-2.34E+00									
7.84E+03	-2.96E-01	-2.32E+00									
7.89E+03	-2.93E-01	-2.31E+00									
7.94E+03	-2.89E-01	-2.29E+00									
7.99E+03	-2.85E-01	-2.28E+00									
8.04E+03	-2.82E-01	-2.27E+00									
8.10E+03	-2.78E-01	-2.26E+00									
8.15E+03	-2.74E-01	-2.23E+00									
8.20E+03	-2.70E-01	-2.22E+00									
8.25E+03	-2.67E-01	-2.20E+00									
8.31E+03	-2.63E-01	-2.18E+00									
8.36E+03	-2.59E-01	-2.17E+00									
8.41E+03	-2.55E-01	-2.15E+00									
8.46E+03	-2.52E-01	-2.13E+00									
8.46E+03	-2.51E-01	-2.13E+00									
0.00E+00	-8.34E-01	0.00E+00									
0.00E+00	-9.08E-01	0.00E+00									
0.00E+00	-9.17E-01	0.00E+00									
0.00E+00	-9.21E-01	0.00E+00									
0.00E+00	-9.25E-01	0.00E+00									
0.00E+00	-9.28E-01	0.00E+00									
4.73E+01	-9.28E-01	-4.39E-02									
9.87E+01	-8.83E-01	-8.71E-02									
1.49E+02	-8.43E-01	-1.26E-01									
2.00E+02	-8.23E-01	-1.64E-01									
2.50E+02	-8.09E-01	-2.02E-01									
3.00E+02	-7.99E-01	-2.40E-01									
3.51E+02	-7.90E-01	-2.77E-01									
4.02E+02	-7.81E-01	-3.14E-01									
4.52E+02	-7.74E-01	-3.50E-01									
5.06E+02	-7.68E-01	-3.89E-01									
5.60E+02	-7.62E-01	-4.26E-01									
6.14E+02	-7.56E-01	-4.64E-01									
6.69E+02	-7.50E-01	-5.02E-01									
7.20E+02	-7.45E-01	-5.37E-01									
7.72E+02	-7.40E-01	-5.72E-01									
8.26E+02	-7.35E-01	-6.07E-01									
8.78E+02	-7.31E-01	-6.41E-01									
9.33E+02	-7.26E-01	-6.77E-01									
9.83E+02	-7.22E-01	-7.09E-01									
1.03E+03	-7.17E-01	-7.42E-01									
1.09E+03	-7.13E-01	-7.75E-01									
1.14E+03	-7.09E-01	-8.06E-01									
1.19E+03	-7.05E-01	-8.40E-01									
1.24E+03	-7.01E-01	-8.71E-01									
1.29E+03	-6.98E-01	-9.03E-01									
1.34E+03	-6.94E-01	-9.33E-01									
1.40E+03	-6.90E-01	-9.65E-01									
1.45E+03	-6.86E-01	-9.94E-01									
1.51E+03	-6.83E-01	-1.03E+00									
1.56E+03	-6.79E-01	-1.06E+00									
1.61E+03	-6.76E-01	-1.09E+00									
1.66E+03	-6.72E-01	-1.12E+00									
1.71E+03	-6.69E-01	-1.15E+00									
1.76E+03	-6.65E-01	-1.17E+00									
1.82E+03	-6.62E-01	-1.20E+00									
1.87E+03	-6.59E-01	-1.23E+00									
1.92E+03	-6.55E-01	-1.26E+00									
1.97E+03	-6.53E-01	-1.29E+00									
2.02E+03	-6.49E-01	-1.31E+00									
2.07E+03	-6.46E-01	-1.34E+00									
2.12E+03	-6.43E-01	-1.37E+00									
2.18E+03	-6.40E-01	-1.39E+00									
2.23E+03	-6.37E-01	-1.42E+00									
2.28E+03	-6.34E-01	-1.45E+00									
2.33E+03	-6.31E-01	-1.47E+00									
2.38E+03	-6.28E-01	-1.50E+00									
2.43E+03	-6.25E-01	-1.52E+00									
2.48E+03	-6.22E-01	-1.54E+00									
2.54E+03	-6.19E-01	-1.57E+00									
2.59E+03	-6.16E-01	-1.60E+00									
2.64E+03	-6.13E-01	-1.62E+00									
2.69E+03	-6.10E-01	-1.64E+00									
2.75E+03	-6.07E-01	-1.67E+00									
2.80E+03	-6.04E-01	-1.69E+00									
2.85E+03	-6.01E-01	-1.71E+00									
2.91E+03	-5.98E-01	-1.74E+00									
2.96E+03	-5.95E-01	-1.76E+00									
3.01E+03	-5.93E-01	-1.78E+00									
3.06E+03	-5.90E-01	-1.81E+00									
3.12E+03	-5.87E-01	-1.83E+00									
3.17E+03	-5.84E-01	-1.85E+00									
3.22E+03	-5.82E-01	-1.87E+00									
3.27E+03	-5.79E-01	-1.89E+00									
3.32E+03	-5.76E-01	-1.91E+00									
3.37E+03	-5.74E-01	-1.93E+00									
3.42E+03	-5.71E-01	-1.96E+00									
3.48E+03	-5.68E-01	-1.98E+00									
3.53E+03	-5.66E-01	-2.00E+00									
3.59E+03	-5.63E-01	-2.02E+00									
3.64E+03	-5.60E-01	-2.04E+00									
3.70E+03	-5.57E-01	-2.06E+00									
3.75E+03	-5.54E-01	-2.08E+00									
3.80E+03	-5.52E-01	-2.10E+00									
3.85E+03	-5.49E-01	-2.11E+00									
3.90E+03	-5.46E-01	-2.13E+00									
3.95E+03	-5.44E-01	-2.15E+00									
4.00E+03	-5.41E-01	-2.17E+00									
4.06E+03	-5.39E-01	-2.18E+00									
4.11E+03	-5.36E-01	-2.20E+00									
4.16E+03	-5.33E-01	-2.22E+00									
4.21E+03	-5.31E-01	-2.24E+00									
4.26E+03	-5.29E-01	-2.25E+00									
4.32E+03	-5.26E-01	-2.27E+00									
4.37E+03	-5.23E-01	-2.29E+00									
4.42E+03	-5.21E-01	-2.30E+00									
4.47E+03	-5.18E-01	-2.32E+00									
4.53E+03	-5.16E-01	-2.33E+00									
4.58E+03	-5.13E-01	-2.35E+00									
4.63E+03	-5.11E-01	-2.36E+00									
4.68E+03	-5.08E-01	-2.38E+00									
4.73E+03	-5.06E-01	-2.39E+00									
4.79E+03	-5.03E-01	-2.41E+00									
4.84E+03	-5.00E-01	-2.42E+00									
4.89E+03	-4.98E-01	-2.43E+00									
4.94E+03	-4.95E-01	-2.45E+00									
4.99E+03	-4.93E-01	-2.46E+00									
5.04E+03	-4.91E-01	-2.47E+00									
5.09E+03	-4.88E-01	-2.49E+00									
5.15E+03	-4.86E-01	-2.50E+00									
5.20E+03	-4.83E-01	-2.51E+00									
5.25E+03	-4.81E-01	-2.52E+00									
5.30E+03	-4.78E-01	-2.54E+00									
5.36E+03	-4.76E-01	-2.55E+00									
5.41E+03	-4.73E-01	-2.56E+00									
5.46E+03	-4.70E-01	-2.57E+00									
5.51E+03	-4.68E-01	-2.58E+00									
5.56E+03	-4.66E-01	-2.59E+00									
5.61E+03	-4.63E-01	-2.60E+00									
5.67E+03	-4.61E-01	-2.61E+00									
5.72E+03	-4.58E-01	-2.62E+00									
5.77E+03	-4.55E-01	-2.63E+00									
5.82E+03	-4.53E-01	-2.64E+00									
5.88E+03	-4.50E-01	-2.65E+00									
5.93E+03	-4.48E-01	-2.65E+00									
5.98E+03	-4.45E-01	-2.66E+00									
6.03E+03	-4.43E-01	-2.67E+00									
6.08E+03	-4.41E-01	-2.68E+00									
6.13E+03	-4.38E-01	-2.69E+00									
